관리번호,정류장명,경도,위도,관리기관
250001178,광판2리,127.70779,37.75676,춘천
250001179,탑골,127.70863,37.74988,춘천
250001180,군자리,127.7185,37.74663,춘천
250001181,군자리,127.71961,37.74724,춘천
250001182,군자3리,127.7379,37.75409,춘천
250001183,군자3리,127.74009,37.75565,춘천
250001184,군자3리,127.74044,37.75565,춘천
250001185,군자3리,127.74794,37.75847,춘천
250001186,부사원고개,127.82263,37.75142,춘천
250001187,조양3리,127.8295,37.74318,춘천
250001188,봉명리,127.79383,37.75336,춘천
250001189,전인고등학교,127.75197,37.78754,춘천
250001190,새술막,127.76004,37.78799,춘천
250001191,만천3리,127.77542,37.87617,춘천
250001361,춘천한샘후문,127.75154,37.92827,춘천
250001362,춘천한샘고등학교,127.75205,37.92539,춘천
250001363,춘천한샘고등학교,127.7511,37.92521,춘천
250001364,춘천박물관후문,127.75281,37.86465,춘천
250001365,박물관입구,127.75269,37.86477,춘천
250001366,춘천박물관,127.75129,37.86365,춘천
250001367,박물관앞,127.75089,37.86354,춘천
250001368,춘천댐종점,127.66654,37.97423,춘천
250001369,춘천댐종점,127.66642,37.97401,춘천
250001370,춘천댐,127.67119,37.96806,춘천
250001371,춘천농협,127.72328,37.88365,춘천
250001372,춘천농협,127.72337,37.88446,춘천
250001373,소양고등학교,127.72374,37.90775,춘천
250001374,소양고등학교,127.72351,37.90781,춘천
250001375,기계공고,127.74616,37.8905,춘천
250001376,후평1동,127.74868,37.89249,춘천
250001377,춘천기계공고,127.74893,37.89111,춘천
250001378,기계공고,127.74908,37.89145,춘천
250001380,신동삼거리,127.72541,37.93503,춘천
250001381,신동삼거리,127.72444,37.93483,춘천
250001382,춘천교도소입구,127.7555,37.84889,춘천
250001383,춘천교도소입구,127.75555,37.849,춘천
250001384,춘천교도소,127.75828,37.84883,춘천
250001385,교육대학교,127.7464,37.85823,춘천
250001386,교육대학교,127.7471,37.85718,춘천
250001387,천전1리,127.78427,37.94462,춘천
250001388,천전1리,127.78422,37.94422,춘천
250001390,춘천경찰서,127.72427,37.86961,춘천
250001391,추곡초교,127.88316,38.02421,춘천
250001392,추곡초교,127.88333,38.02428,춘천
250001393,추곡약수터,127.88815,38.03586,춘천
250001394,추곡리2반,127.65345,37.74728,춘천
250001395,추곡리2반,127.6535,37.74752,춘천
250001396,추곡리,127.88297,38.0274,춘천
250001397,추곡리,127.88309,38.02754,춘천
250001398,추곡리,127.65293,37.74995,춘천
250001399,추곡1리,127.65319,37.74964,춘천
250001400,추곡리,127.65048,37.74473,춘천
250001401,추곡3거리,127.65049,37.74485,춘천
250001402,추곡1리1반,127.88114,38.02006,춘천
250001403,추곡1리,127.88109,38.01953,춘천
250001404,추곡1리,127.88095,38.0135,춘천
250001405,추곡,127.87726,38.03353,춘천
250001406,초원낚시터,127.69447,37.98161,춘천
250001407,고탄낚시터,127.694,37.98155,춘천
250001408,청와아파트,127.71365,37.88122,춘천
250001409,청실아파트,127.75833,37.87338,춘천
250001410,청실아파트,127.75856,37.87322,춘천
250001411,청소년야영장,127.88139,37.99323,춘천
250001412,청소년야영장,127.88144,37.99337,춘천
250001413,청소년수련관,127.72023,37.92216,춘천
250001414,청소년수련관,127.72031,37.92206,춘천
250001415,청소년수련관,127.72125,37.92246,춘천
250001416,청소년수련관,127.72098,37.9225,춘천
250001417,청구/동아아파트,127.75432,37.87004,춘천
250001418,동아/청구아파트,127.75433,37.87026,춘천
250001419,천전삼거리,127.78167,37.93015,춘천
250001420,상천초등학교,127.78535,37.92981,춘천
250001421,천전3리,127.78031,37.9298,춘천
250001422,천전3리,127.78027,37.92991,춘천
250001423,춘천국유림관리소,127.77356,37.93044,춘천
250026865,춘천국유림관리소,127.77281,37.93037,춘천
250001424,춘천국유림관리소,127.77392,37.93054,춘천
250026864,춘천국유림관리소,127.77287,37.9305,춘천
250001425,천전1리,127.77521,37.93721,춘천
250001426,천전1리,127.7754,37.93717,춘천
250001427,천일주유소,127.77995,37.75704,춘천
250001428,강촌1리회관,127.63656,37.80833,춘천
250001429,창촌중학교,127.63647,37.80813,춘천
250001430,창촌2리마을회관,127.64638,37.78336,춘천
250001431,창촌2리마을회관,127.6466,37.78419,춘천
250001432,창촌3리종점,127.62608,37.7767,춘천
250001433,창촌3리입구,127.64404,37.77659,춘천
250001434,창촌3리입구,127.64375,37.77647,춘천
250001435,방동1리,127.67269,37.896,춘천
250001436,방동1리,127.67023,37.89701,춘천
250001437,방동1리,127.66765,37.89848,춘천
250001438,방동1리,127.66762,37.89841,춘천
250001439,방동1리,127.67012,37.89697,춘천
250001440,방동1리,127.67276,37.8959,춘천
250001441,방동1리,127.67526,37.89567,춘천
250001442,방곡리,127.6377,37.8028,춘천
250001443,방곡리,127.63755,37.80283,춘천
250001444,방곡2리회관,127.63587,37.79139,춘천
250001445,방곡2리회관,127.63585,37.79127,춘천
250001709,고성2리,127.73335,37.99216,춘천
250001710,고탄리,127.71325,37.98897,춘천
250001711,안보1리,127.58463,37.83593,춘천
250001712,안보1리,127.58439,37.83576,춘천
250001713,경강역,127.55039,37.84269,춘천
250001714,경강역,127.55039,37.84259,춘천
250001716,거두부영아파트,127.75209,37.85597,춘천
250001717,거두부영아파트,127.75486,37.85614,춘천
250001718,거두마을회관,127.76251,37.8613,춘천
250001719,거두마을회관,127.76257,37.8612,춘천
250001720,거두2리종점,127.78736,37.86109,춘천
250001721,거두2리,127.78333,37.8604,춘천
250001722,거두2리,127.77795,37.86041,춘천
250001723,거두2리,127.77811,37.86028,춘천
250001724,거두2리,127.78344,37.86037,춘천
250001725,거두1리,127.76712,37.86199,춘천
250001726,거두1리,127.76727,37.86204,춘천
250001727,탑동마을,127.57602,37.83781,춘천
250001728,강촌입구,127.63423,37.81838,춘천
250001729,강촌입구,127.6343,37.8186,춘천
250001730,강촌입구,127.6308,37.82031,춘천
250001731,강촌유원지,127.63361,37.81361,춘천
250001732,강촌유원지,127.63365,37.81339,춘천
250001733,(구)강촌역,127.6327,37.8156,춘천
250001734,(구)강촌역,127.6326,37.8154,춘천
250001735,강촌리,127.63165,37.8066,춘천
250001736,강촌리,127.6188,37.79905,춘천
250001737,강촌리,127.62137,37.80284,춘천
250001738,강촌리,127.63184,37.80666,춘천
250001739,강촌검문소,127.62263,37.82571,춘천
250001740,강촌검문소,127.6222,37.82565,춘천
250001741,강촌1리4반,127.62947,37.80521,춘천
250001742,강촌1리4반,127.62958,37.80516,춘천
250001743,직업능력개발센터,127.73925,37.91229,춘천
250001744,거두1리,127.76004,37.85951,춘천
250001745,거두1리,127.75984,37.85953,춘천
250001746,강원일보,127.72851,37.88255,춘천
250001747,강원대후문,127.74417,37.87276,춘천
250001748,강원대후문,127.74425,37.87289,춘천
250001749,강원대학병원,127.74313,37.87476,춘천
250001750,강원대학병원,127.74292,37.87471,춘천
250001751,도시공사앞,127.73627,37.86416,춘천
250001752,병무청앞,127.73507,37.86554,춘천
250001753,동면농협장학지점,127.75348,37.89171,춘천
250001754,동면농협장학지점,127.75317,37.89177,춘천
250001755,강원중학교,127.75587,37.89502,춘천
250001756,강원고교,127.75593,37.89503,춘천
250001757,애니고등학교,127.70055,37.90538,춘천
250001758,애니고등학교,127.70064,37.90526,춘천
250001759,강남동/시외버스부근,127.72006,37.86586,춘천
250001760,감정2리회관,127.79139,37.90126,춘천
250001761,감정2리종점,127.80645,37.90167,춘천
250001762,감정2리,127.79235,37.90233,춘천
250001763,감정2리,127.79245,37.90243,춘천
250001764,감정1리마을회관,127.78992,37.89637,춘천
250001767,가정초교,127.5748,37.7373,춘천
250001768,가정진료소,127.57466,37.73722,춘천
250001769,가정리종점,127.57733,37.76332,춘천
250001770,가정3리,127.5676,37.76066,춘천
250001771,가정3리,127.56749,37.76075,춘천
250001772,가정2리,127.57312,37.74812,춘천
250001773,가정2리,127.57185,37.75332,춘천
250001774,가정2리,127.57176,37.75324,춘천
250001775,가정2리,127.5732,37.748,춘천
250001776,가정1리,127.57926,37.7319,춘천
250001777,가정1리,127.57901,37.73177,춘천
250001778,가재골,127.61976,37.7368,춘천
250001779,가재골,127.61987,37.73675,춘천
250001780,팔호광장(EMI학원),127.73537,37.87559,춘천
250001781,동성교회,127.73498,37.87525,춘천
250001782,88공원,127.71502,37.85241,춘천
250001783,(구)102보충대,127.71221,37.94124,춘천
250001784,(구)102보충대,127.7124,37.94078,춘천
250001785,신한은행후평동지점,127.75044,37.87927,춘천
250001786,충인교회,127.75001,37.87954,춘천
250001787,(구)보훈청,127.73954,37.87824,춘천
250001788,창촌3리약수터,127.63149,37.77616,춘천
250001789,창촌3리약수터,127.6314,37.77609,춘천
250001790,창촌3리,127.64103,37.7715,춘천
250001791,창촌3리,127.64081,37.77154,춘천
250001792,창촌3거리,127.6482,37.78727,춘천
250001793,창촌3거리,127.64813,37.78712,춘천
250001794,창촌1리,127.64702,37.78957,춘천
250001879,기와집골,127.63417,37.77607,춘천
250001880,장학1리,127.76813,37.89842,춘천
250001881,장학1리,127.76799,37.89851,춘천
250001882,춘천역육교앞,127.71608,37.88563,춘천
250001883,호반요양병원,127.7076,37.85834,춘천
250001884,호반요양병원,127.70753,37.85767,춘천
250001885,인성병원,127.72659,37.88109,춘천
250001886,소양로우체국,127.72618,37.88108,춘천
250001887,인람종점,127.65946,37.98567,춘천
250001888,인람리,127.65958,37.99086,춘천
250001889,의암치안센터,127.66999,37.85032,춘천
250001890,의암치안센터,127.67014,37.85037,춘천
250001891,송암스포츠타운입구,127.69323,37.84544,춘천
250001892,송암스포츠타운입구,127.69232,37.84577,춘천
250001893,의암리본마을,127.67943,37.83186,춘천
250001894,의암리본마을,127.67937,37.83181,춘천
250001895,의암류인석유적지,127.57221,37.74352,춘천
250001896,의암류인석유적지,127.5721,37.74341,춘천
250001897,의암댐,127.67719,37.83792,춘천
250001898,의암댐,127.6771,37.83776,춘천
250001899,의암공원,127.6696,37.82721,춘천
250001900,의암,127.68265,37.82685,춘천
250001901,의암,127.68273,37.8267,춘천
250001902,퇴계동입구,127.72053,37.86153,춘천
250001903,퇴계동입구,127.71969,37.86195,춘천
250001904,강원테크노파크,127.7514,37.93048,춘천
250001905,율문3리,127.76643,37.92984,춘천
250001906,강원테크노파크,127.75169,37.93053,춘천
250001907,율문1리,127.74383,37.92571,춘천
250001908,율문1리,127.74357,37.92584,춘천
250001909,천전2리,127.77003,37.93033,춘천
250001910,천전2리,127.76937,37.93046,춘천
250001911,육림랜드,127.72157,37.91618,춘천
250001912,육림공원,127.72119,37.91756,춘천
250001913,육림고개,127.73044,37.87721,춘천
250001914,육림고개,127.73071,37.87717,춘천
250001916,유포2리종점,127.77667,37.95236,춘천
250001917,유포리,127.77656,37.94932,춘천
250001918,유포리회관,127.77662,37.94913,춘천
250001919,유포3리입구,127.7517,37.93604,춘천
250001920,유포3리입구,127.7515,37.93507,춘천
250001921,유승한내들,127.73105,37.86189,춘천
250001922,유승한내들,127.73137,37.86192,춘천
250001923,윗샘밭종점,127.79306,37.93267,춘천
250001924,윗샘밭종점,127.79216,37.93244,춘천
250001925,위도입구,127.72122,37.92441,춘천
250001926,위도입구,127.721,37.92494,춘천
250001927,월송3리종점,127.67551,37.91704,춘천
250001928,월송2리입구,127.69654,37.91827,춘천
250001929,월송2리,127.68949,37.92294,춘천
250001930,월송1리,127.68734,37.93014,춘천
250001931,월곡리종점,127.80815,37.92262,춘천
250001932,월곡리,127.80165,37.91858,춘천
250001933,월곡리,127.80155,37.91855,춘천
250001934,원평리,127.63442,38.00363,춘천
250001935,샛강쉼터,127.6275,38.00193,춘천
250001936,원평마을,127.63334,38.00274,춘천
250001937,원평계곡,127.6444,37.99525,춘천
250001938,원평계곡,127.64426,37.99489,춘천
250001939,학곡리,127.75999,37.82565,춘천
250001940,원창리입구,127.76041,37.82608,춘천
250001941,원창고개,127.76878,37.81006,춘천
250001942,원창고개,127.75922,37.81594,춘천
250001943,원창고개,127.76861,37.80995,춘천
250001944,원창고개,127.75921,37.81573,춘천
250001945,원창5리,127.76445,37.7795,춘천
250001946,원창5리,127.76449,37.78081,춘천
250001947,원창4리,127.77007,37.80956,춘천
250001948,원창3리,127.76418,37.78941,춘천
250001949,원창3리,127.76394,37.78935,춘천
250001950,원창2리,127.7736,37.80338,춘천
250001951,폴리텍대학,127.7737,37.79736,춘천
250001952,폴리텍대학,127.77401,37.79759,춘천
250001953,원창2리,127.77365,37.80374,춘천
250001954,원창1리,127.74999,37.78843,춘천
250001955,원창1리,127.74998,37.78833,춘천
250001956,봉명리,127.7823,37.76643,춘천
250001957,원무골,127.76703,37.76659,춘천
250001958,웃골1리,127.69392,37.95099,춘천
250001959,웃골1리,127.69454,37.95044,춘천
250001960,우석초교입구,127.75043,37.8663,춘천
250001961,우석초교입구,127.75061,37.86621,춘천
250001962,우석초교,127.75018,37.865,춘천
250001963,우석초교,127.751,37.86474,춘천
250001964,그랜드아파트,127.75605,37.86696,춘천
250001965,용산치안센터,127.67122,37.96817,춘천
250001966,용산리종점,127.70724,37.94622,춘천
250001967,용산3리,127.70734,37.94581,춘천
250001968,용산2리취수장,127.70055,37.95014,춘천
250001969,용산2리취수장,127.70098,37.94955,춘천
250001970,한강수력본부,127.67893,37.96252,춘천
250001971,한강수력본부,127.67859,37.96261,춘천
250001972,용산1리종점,127.71715,37.94838,춘천
250001973,용산1리,127.71089,37.94281,춘천
250001974,용산1리,127.71066,37.94273,춘천
250001975,왕터연수원,127.56047,37.73122,춘천
250001976,왕터연수원,127.56059,37.7312,춘천
250001978,올미종점,127.7374,37.92627,춘천
250001979,올미입구,127.73655,37.92219,춘천
250001980,올미입구,127.7365,37.92233,춘천
250001981,올미,127.73852,37.92136,춘천
250001982,올미,127.73839,37.92141,춘천
250001983,전자랜드/시외버스부근,127.72134,37.86578,춘천
250001984,풍물시장,127.71739,37.86734,춘천
250001985,럭키/시외버스부근,127.71821,37.86657,춘천
250001986,방송통신대입구,127.72014,37.87329,춘천
250001987,방송통신대입구,127.72116,37.87326,춘천
250001988,온의금호1차,127.71614,37.86888,춘천
250001989,온의금호1차,127.71582,37.86872,춘천
250001990,옥광산입구,127.78278,37.91645,춘천
250001991,지내1리(옥광산입구),127.78225,37.91617,춘천
250001992,오항리종점,127.90448,37.97759,춘천
250001993,오탄리종점,127.58176,38.05261,춘천
250001994,오탄리,127.62175,38.0429,춘천
250001995,오탄1리,127.62197,38.04268,춘천
250001996,오탄3리종점,127.601,38.04171,춘천
250001997,오탄2리,127.59509,38.05404,춘천
250001998,오탄2리,127.59534,38.05417,춘천
250001999,오탄1리,127.61601,38.04708,춘천
250002000,오탄1리,127.61601,38.04686,춘천
250002001,오음리입구,127.7848,37.9407,춘천
250002002,오음리입구,127.7847,37.9408,춘천
250002003,오월유원지,127.64191,37.98006,춘천
250002004,오월유원지,127.64218,37.98015,춘천
250002005,오월리종점,127.62519,37.9663,춘천
250002006,오월리입구,127.65544,37.97863,춘천
250002007,오월리입구,127.65542,37.97853,춘천
250002008,오월교입구,127.64466,37.98354,춘천
250002009,오봉마을,127.71552,37.78736,춘천
250002010,오봉마을,127.71489,37.78688,춘천
250002011,오동초등학교,127.75615,37.95077,춘천
250002012,오동초등학교,127.75566,37.95061,춘천
250002015,여성가족연구원,127.74853,37.85613,춘천
250002016,여성가족연구원,127.74872,37.85577,춘천
250002017,퇴계주공6단지,127.743,37.85124,춘천
250002018,현진에버빌1차,127.74735,37.85034,춘천
250002020,상상마당입구,127.70108,37.87179,춘천
250002021,상상마당입구,127.70168,37.87141,춘천
250002022,양통종점,127.73779,38.00189,춘천
250002023,양우아파트,127.73052,37.86831,춘천
250002024,양우아파트,127.73154,37.86796,춘천
250002025,창촌3리(양단이),127.63429,37.76675,춘천
250002026,창촌3리(양단이),127.63364,37.7664,춘천
250002027,약사아파트,127.72306,37.87212,춘천
250002028,약사아파트,127.72362,37.87205,춘천
250002029,명동입구,127.72668,37.87971,춘천
250002030,약사리고개입구,127.728,37.8739,춘천
250002031,약사리고개입구,127.728,37.8739,춘천
250002032,현암리,127.68983,37.89185,춘천
250002033,애니메이션박물관,127.68997,37.89259,춘천
250002034,안보2리종점,127.57659,37.84978,춘천
250002035,안보2리입구,127.56777,37.84289,춘천
250002036,안보2리입구,127.56753,37.84263,춘천
250002037,탑동마을,127.57698,37.83785,춘천
250002038,아침못종점,127.76327,37.95009,춘천
250002039,쓰레기매립장,127.68775,37.79753,춘천
250002040,혈동2리,127.68779,37.79703,춘천
250002041,신포중학교,127.63991,38.02611,춘천
250002042,신포리,127.63411,38.01657,춘천
250002043,신포리,127.63403,38.01666,춘천
250002044,신포1리,127.64,38.02516,춘천
250002045,신촌1리,127.77998,37.85409,춘천
250002046,신촌3리,127.75825,37.84892,춘천
250002047,신촌1리,127.77069,37.85009,춘천
250002048,신촌1리,127.77616,37.8538,춘천
250002049,신촌1리,127.77606,37.85369,춘천
250002050,신촌1리,127.77063,37.85016,춘천
250001795,창촌1리,127.64689,37.78945,춘천
250001796,청구/진흥아파트,127.75254,37.86895,춘천
250001797,청구/진흥아파트,127.75274,37.8691,춘천
250001798,현지사,127.64553,38.04482,춘천
250001799,현지사,127.64509,38.0452,춘천
250001800,지촌3리,127.64075,38.03368,춘천
250001801,지촌3리,127.64059,38.03365,춘천
250001802,지촌2리,127.64283,38.05061,춘천
250001803,지촌2리,127.64272,38.05049,춘천
250001804,농협보안지점,127.75193,37.87721,춘천
250001805,한국국토정보공사,127.7511,37.87803,춘천
250001806,지암초교,127.60766,37.98085,춘천
250001807,지암초교,127.60775,37.98079,춘천
250001808,지암산천마을,127.609,37.98174,춘천
250001809,지암산천마을,127.60916,37.98194,춘천
250001810,지암리종점,127.59526,37.97533,춘천
250001811,지암리,127.62237,37.97935,춘천
250001812,지암리,127.63584,37.97705,춘천
250001813,지암리,127.63574,37.97718,춘천
250001814,지암리,127.6222,37.97928,춘천
250001815,지내리,127.7308,37.95017,춘천
250001816,지내리,127.73064,37.9501,춘천
250001817,지내3리,127.7308,37.94821,춘천
250001818,지내3리,127.73063,37.94822,춘천
250001819,지내2리종점,127.72107,37.9598,춘천
250001820,지내2리,127.72318,37.95769,춘천
250001821,지내2리,127.78467,37.9172,춘천
250001822,지내2리,127.78461,37.91725,춘천
250001823,지내1리종점,127.73283,37.9671,춘천
250001824,지내1리마을회관,127.73038,37.96167,춘천
250001825,지내1리마을회관,127.73034,37.96199,춘천
250001826,지내1리,127.73072,37.95776,춘천
250001827,지내보건소,127.73036,37.95788,춘천
250001828,지내1리,127.78176,37.91172,춘천
250001829,증3리,127.72608,37.82799,춘천
250001830,증3리,127.72411,37.82637,춘천
250001831,증3리,127.72408,37.82607,춘천
250001832,증3리,127.72726,37.831,춘천
250001833,증2리,127.70964,37.81127,춘천
250001834,증2리,127.70987,37.80756,춘천
250001835,증2리,127.71193,37.8053,춘천
250001836,증2리,127.70994,37.8026,춘천
250001837,증2리,127.71,37.80254,춘천
250001838,증2리,127.7115,37.80301,춘천
250001839,증2리,127.71204,37.80539,춘천
250001840,증2리,127.70999,37.80759,춘천
250001841,증2리,127.70976,37.81137,춘천
250001842,증1리,127.70913,37.81427,춘천
250001843,중앙하이츠1차,127.73726,37.85456,춘천
250001844,중앙하이츠,127.735,37.8558,춘천
250001845,중앙하이츠,127.735,37.8559,춘천
250001846,중앙하이츠1차,127.73673,37.85445,춘천
250001847,약사명동주민센터,127.7242,37.87749,춘천
250001848,중앙시장/중앙초교,127.72499,37.87835,춘천
250001849,중앙시장,127.72548,37.8785,춘천
250001850,중도선착장,127.69696,37.87193,춘천
250001851,중도선착장,127.69724,37.87178,춘천
250001852,중도배터,127.7172,37.8881,춘천
250001853,일성트루엘아파트,127.74849,37.87749,춘천
250001854,KBS방송국,127.7228,37.86824,춘천
250001855,KBS방송국,127.72272,37.86765,춘천
250001856,조양4리,127.77329,37.75984,춘천
250001857,조양4리,127.78372,37.75584,춘천
250001858,조양4리,127.78467,37.75576,춘천
250001859,신세계주유소,127.77867,37.75766,춘천
250001860,조양3리,127.83153,37.74393,춘천
250001861,조양1리,127.81144,37.75602,춘천
250001862,조각공원,127.71386,37.87307,춘천
250001863,정족2리입구,127.7293,37.83387,춘천
250001864,정족2리입구,127.72904,37.83375,춘천
250001865,정족2리입구,127.72937,37.83393,춘천
250001866,정족2리입구,127.72879,37.8337,춘천
250001867,정족2리,127.73444,37.83161,춘천
